title,author,views,likes,link,month,year
Climate action needs new frontline leadership,Ozawa Bineshi Albert,404000,12000,https://ted.com/talks/ozawa_bineshi_albert_climate_action_needs_new_frontline_leadership,December,2021
The dark history of the overthrow of Hawaii,Sydney Iaukea,214000,6400,https://ted.com/talks/sydney_iaukea_the_dark_history_of_the_overthrow_of_hawaii,February,2022
How play can spark new ideas for your business,Martin Reeves,412000,12000,https://ted.com/talks/martin_reeves_how_play_can_spark_new_ideas_for_your_business,September,2021
Why is China appointing judges to combat climate change?,James K. Thornton,427000,12000,https://ted.com/talks/james_k_thornton_why_is_china_appointing_judges_to_combat_climate_change,October,2021
Cement's carbon problem — and 2 ways to fix it,Mahendra Singhi,2400,72,https://ted.com/talks/mahendra_singhi_cement_s_carbon_problem_and_2_ways_to_fix_it,October,2021
The tragedy of air pollution — and an urgent demand for clean air,Rosamund Adoo-Kissi-Debrah,422000,12000,https://ted.com/talks/rosamund_adoo_kissi_debrah_the_tragedy_of_air_pollution_and_an_urgent_demand_for_clean_air,October,2021
The myth of Narcissus and Echo,Iseult Gillespie,412000,12000,https://ted.com/talks/iseult_gillespie_the_myth_of_narcissus_and_echo,February,2022
You deserve the right to repair your stuff,Gay Gordon-Byrne,455000,13000,https://ted.com/talks/gay_gordon_byrne_you_deserve_the_right_to_repair_your_stuff,August,2021
What nature can teach us about sustainable business,Erin Meezan,66000,1900,https://ted.com/talks/erin_meezan_what_nature_can_teach_us_about_sustainable_business,February,2022
The origins of blackface and Black stereotypes,Dwan Reece,584000,17000,https://ted.com/talks/dwan_reece_the_origins_of_blackface_and_black_stereotypes,March,2019
A sex therapist's secret to rediscovering your spark,Ian Kerner,87000,2600,https://ted.com/talks/ian_kerner_a_sex_therapist_s_secret_to_rediscovering_your_spark,August,2021
How do jetpacks work? And why don't we all have them?,Richard Browning,213000,6400,https://ted.com/talks/richard_browning_how_do_jetpacks_work_and_why_don_t_we_all_have_them,February,2022
What regret can teach you about living a good life,Daniel H. Pink,622000,18000,https://ted.com/talks/daniel_h_pink_what_regret_can_teach_you_about_living_a_good_life,January,2022
"How to fix the ""bugs"" in the net-zero code",Lucas Joppa,526000,15000,https://ted.com/talks/lucas_joppa_how_to_fix_the_bugs_in_the_net_zero_code,October,2021
"""Big Yellow Taxi"" / ""Song for Sunshine""", Belle and Sebastian,23000,690,https://ted.com/talks/belle_and_sebastian_big_yellow_taxi_song_for_sunshine,October,2021
How film captures the space between hope and despair,Mounia Akl,628000,18000,https://ted.com/talks/mounia_akl_how_film_captures_the_space_between_hope_and_despair,December,2021
